,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,446,630,677,701,581,824
Cash from Investing Activity,-349,-646,-424,-629,-611,-653
Cash from Financing Activity,-79,-72,-226,58,-31,-342
Net Cash Flow,18,-88,28,130,-62,-172
