,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Reserves,69.86,77.24,74.57,64.82,50.63,51.01,59.29,76.7
Borrowings,92.55,137.29,89.5,103.27,32.91,21.53,2.04,0.27
Other Liabilities,47.71,56.21,34.03,14.95,6.11,0.39,-0.5700000000000001,0.66
Total Liabilities,216.42,277.04,204.4,189.34,95.95,79.23,67.06,83.93
Fixed Assets,26.45,30.26,26.83,23.74,20.67,18.6,15.57,5.26
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,10.22,10.7,13.61,14.72,16.76,17.73,24.99,47.64
Other Assets,179.75,236.08,163.96,150.88,58.52,42.9,26.5,31.03
Total Assets,216.42,277.04,204.4,189.34,95.95,79.23,67.06,83.93
