,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,61.13,82.79,51.78,63.67,43.87,113.71,171.9
Inventory Days,37.77,26.13,42.5,34.06,52.96,127.95,432.73
Days Payable,24.93,24.36,18.75,5.86,2.05,107.67,1237.99
Cash Conversion Cycle,73.97,84.56,75.53,91.87,94.78,133.98,-633.35
Working Capital Days,83.03,88.2,77.73,89.82,140.23,388.58,1529.47
ROCE %,,14.3,7.24,-1.94,-7.85,-3.88,-16.68
