,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,498.17,705.56,555.4,398.12,95.68,24.3,3.1,0.70
Expenses,480.21,678.23,541.53,401.57,104.15,26.53,18.71,27.64
Operating Profit,17.96,27.33,13.87,-3.45,-8.47,-2.23,-15.61,-26.94
OPM %,3.61,3.87,2.5,-0.87,-8.85,-9.18,-503.55,-3848.57
Other Income,1.2,4.48,4.16,3.62,1.26,1.36,13.04,29.06
Interest,7.65,15.38,13.76,10.84,8.94,5.61,0.77,0.11
Depreciation,3.01,3.79,3.82,3.5,2.98,2.17,1.39,1.01
Profit before tax,8.5,12.64,0.45,-14.17,-19.13,-8.65,-4.73,1.00
Tax %,24.71,34.02,151.11,24.91,24.05,9.02,9.94,
Net Profit,5.31,8.76,2.38,-10.6,-14.64,-3.33,5.2,6.54
EPS in Rs,8.43,13.65,6.0,-13.56,-22.55,-1.35,10.7,12.22
