,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,257,283,360,306,362,327,608
Cash from Investing Activity,-319,-210,-359,-138,-95,-209,-683
Cash from Financing Activity,78,-60,-18,-128,-296,-120,73
Net Cash Flow,16,12,-17,40,-28,-2,-2
