,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,10,10,10,11,11,11,11
Reserves,566,587,673,712,959,1125,1366,1512
Borrowings,777,847,985,1058,806,800,1240,1503
Other Liabilities,469,556,657,527,576,739,1190,1222
Total Liabilities,1818,1999,2325,2307,2352,2675,3807,4247
Fixed Assets,1228,1323,1589,1546,1510,1544,2124,2276
CWIP,11,24,91,89,32,42,97,154
Investments,3,4,4,3,2,3,3,4
Other Assets,576,648,642,669,807,1086,1583,1813
Total Assets,1818,1999,2325,2307,2352,2675,3807,4247
