,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,5,7,7,7,13,13,13
Reserves,65,70,81,109,64,113,142,155,158,159,167,170
Borrowings,108,182,329,179,173,188,235,149,135,115,94,85
Other Liabilities,0,28,36,10,12,15,77,31,22,23,25,31
Total Liabilities,173,280,447,298,249,320,460,342,322,310,298,299
Fixed Assets,145,198,396,257,191,226,204,150,138,122,107,98
CWIP,0,16,0,0,4,1,71,0,0,0,0,0
Investments,16,3,1,26,36,43,81,77,82,87,88,86
Other Assets,12,63,50,15,19,51,104,115,101,101,104,115
Total Assets,173,280,447,298,249,320,460,342,322,310,298,299
