,2008-03-01,2009-03-01,2010-03-01,2011-06-01,2012-09-01,2013-09-01,2014-09-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01
Equity Capital,10,20,20,20,20,20,20,20,20,20,20,20
Reserves,1,1,1,1,1,1,1,2,2,8,8,-4
Borrowings,0,0,0,0,0,8,17,14,13,13,13,13
Other Liabilities,62,42,147,131,188,457,427,422,344,339,110,51
Total Liabilities,74,63,169,152,208,486,466,458,378,380,152,80
Fixed Assets,0,0,0,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,24,35,35,34,62,51,51,61,62,134,132,80
Other Assets,49,28,134,118,146,434,415,397,316,247,19,0
Total Assets,74,63,169,152,208,486,466,458,378,380,152,80
