,2022-09-01,2023-06-01,2023-09-01
Sales,4.92,4.5,6.33
Expenses,9.3,7.0,7.4
Operating Profit,-4.38,-2.5,-1.07
OPM %,-89.02,-55.56,-16.9
Other Income,0.36,0.15,0.16
Interest,0.08,0.24,0.28
Depreciation,0.56,1.02,1.02
Profit before tax,-4.66,-3.61,-2.21
Tax %,12.23,24.93,24.89
Net Profit,-4.09,-2.71,-1.66
EPS in Rs,-3.93,-2.61,-1.6
