,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Reserves,0.41,0.4,0.6000000000000001,0.74,0.77,0.8,0.94,0.99,1.05,0.97,0.81,0.66
Borrowings,0.0,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.11,0.06,0.38,0.11,0.91,1.24,0.68,0.16,0.75,0.89,0.5700000000000001,0.52
Total Liabilities,3.52,3.53,4.02,3.85,4.68,5.04,4.62,4.15,4.8,4.86,4.38,4.18
Fixed Assets,0.56,0.67,0.63,0.6000000000000001,0.5700000000000001,0.55,0.54,0.54,0.53,0.53,0.53,0.53
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,2.96,2.86,3.39,3.25,4.11,4.49,4.08,3.61,4.27,4.33,3.85,3.65
Total Assets,3.52,3.53,4.02,3.85,4.68,5.04,4.62,4.15,4.8,4.86,4.38,4.18
