,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,24,24,26,26,27,27,27
Reserves,6,48,204,333,1151,1438,1567
Borrowings,0,9,68,119,149,106,228
Other Liabilities,46,77,105,275,497,437,520
Total Liabilities,76,158,402,753,1824,2008,2341
Fixed Assets,27,57,163,361,699,786,1198
CWIP,0,2,5,40,42,49,0
Investments,0,0,0,76,135,0,0
Other Assets,49,99,234,276,948,1174,1143
Total Assets,76,158,402,753,1824,2008,2341
