,2021-03-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,199.0,285.0,338.0,361.0,395.0
Expenses,75.0,111.0,124.0,124.0,144.0
Operating Profit,123.0,174.0,214.0,238.0,251.0
OPM %,62.0,61.0,63.0,66.0,63.0
Other Income,1.0,8.0,-7.0,6.0,3.0
Interest,83.0,108.0,141.0,164.0,167.0
Depreciation,8.0,10.0,11.0,9.0,9.0
Profit before tax,33.0,64.0,55.0,72.0,77.0
Tax %,29.0,28.0,29.0,25.0,25.0
Net Profit,23.0,46.0,39.0,54.0,58.0
EPS in Rs,0.81,1.44,1.21,1.68,1.8
