,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.0,23.0,25.0,29.0,92.0,120.0,93.0,125.0,157.0,173
Expenses,90.0,176.0,65.0,53.0,104.0,123.0,88.0,303.0,160.0,169
Operating Profit,-76.0,-153.0,-40.0,-24.0,-11.0,-2.0,5.0,-178.0,-3.0,4
OPM %,-521.0,-665.0,-160.0,-83.0,-12.0,-2.0,5.0,-143.0,-2.0,2
Other Income,8.0,20.0,27.0,30.0,20.0,17.0,20.0,32.0,56.0,60
Interest,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
Depreciation,0.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,6.0,7
Profit before tax,-68.0,-134.0,-13.0,6.0,7.0,9.0,20.0,-152.0,46.0,56
Tax %,0.0,-0.0,0.0,19.0,11.0,-10.0,-292.0,4.0,30.0,
Net Profit,-68.0,-134.0,-13.0,5.0,6.0,10.0,79.0,-146.0,33.0,46
EPS in Rs,-215.45,-423.21,-37.86,13.45,18.0,29.54,221.55,-31.33,6.96,9.81
