,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,3,3,4,47,47,47.0
Reserves,149,960,1221,1229,1188,1206,1608,1889,1952,1983.0
Preference Capital,14,31,35,35,35,35,39,0,0,
Borrowings,0,0,0,0,0,5,5,8,6,5.0
Other Liabilities,30,50,52,55,71,64,70,34,31,33.0
Total Liabilities,182,1013,1276,1288,1262,1277,1686,1977,2035,2067.0
Fixed Assets,1,1,1,0,786,790,792,797,795,797.0
CWIP,0,0,0,0,0,0,0,0,0,0.0
Investments,140,839,1083,1258,408,423,767,1017,1111,1105.0
Other Assets,41,173,192,29,68,64,127,163,130,165.0
Total Assets,182,1013,1276,1288,1262,1277,1686,1977,2035,2067.0
