,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
FIIs,16.03,17.21,17.55,19.55,21.49,72.47,69.95,69.69,70.14
DIIs,8.18,7.46,6.2,5.44,5.25,5.37,4.51,4.61,4.52
Public,75.79,75.33,76.25,75.01,73.26,22.14,25.55,25.69,25.33
No. of Shareholders,524305.0,458482.0,424642.0,401581.0,380637.0,367934.0,354671.0,343391.0,326417.0
