,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,3.78,6.57,4.73,4.95,3.98,4.67,4.13
Expenses,3.61,5.16,4.09,3.91,3.56,3.65,3.4
Operating Profit,0.17,1.41,0.64,1.04,0.42,1.02,0.73
OPM %,4.5,21.46,13.53,21.01,10.55,21.84,17.68
Other Income,0.0,0.0,0.03,0.33,0.44,0.3,0.14
Interest,0.07,0.09,0.04,0.01,0.0,0.04,0.0
Depreciation,0.07,0.33,0.27,0.38,0.47,0.59,0.61
Profit before tax,0.03,0.99,0.36,0.98,0.39,0.69,0.26
Tax %,33.33,29.29,25.0,29.59,28.21,27.54,42.31
Net Profit,0.02,0.71,0.27,0.69,0.29,0.51,0.14
EPS in Rs,0.05,1.73,0.05,0.14,0.06,0.1,0.03
