,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.92,12.81,10.35,9.68,8.65,8.80
Expenses,14.67,11.45,8.51,8.0,7.21,7.05
Operating Profit,0.25,1.36,1.84,1.68,1.44,1.75
OPM %,1.68,10.62,17.78,17.36,16.65,19.89
Other Income,0.05,0.1,0.0,0.36,0.74,0.44
Interest,0.49,0.39,0.16,0.05,0.04,0.04
Depreciation,0.74,0.72,0.65,0.65,1.06,1.20
Profit before tax,-0.93,0.35,1.03,1.34,1.08,0.95
Tax %,29.03,40.0,28.16,27.61,26.85,
Net Profit,-0.66,0.21,0.73,0.97,0.8,0.65
EPS in Rs,-1.61,0.51,1.78,0.19,0.16,0.13
