,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.06,2.06,2.06,5.06,10.11,10.11
Reserves,-0.15,0.07,0.79,12.49,8.29,8.43
Borrowings,2.45,1.81,0.22,0.0,0.0,0.0
Other Liabilities,1.9,1.13,2.42,1.36,1.18,1.22
Total Liabilities,6.26,5.07,5.49,18.91,19.58,19.76
Fixed Assets,1.9,1.4,1.7000000000000002,2.66,11.49,11.99
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.88,0.27
Other Assets,4.36,3.67,3.79,16.25,7.21,7.5
Total Assets,6.26,5.07,5.49,18.91,19.58,19.76
