,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.0,54.0,122.0,149
Expenses,1.0,46.0,102.0,122
Operating Profit,0.0,7.0,21.0,27
OPM %,19.0,13.0,17.0,18
Other Income,0.0,2.0,4.0,3
Interest,0.0,2.0,5.0,7
Depreciation,0.0,3.0,11.0,12
Profit before tax,0.0,4.0,8.0,11
Tax %,0.0,24.0,20.0,
Net Profit,0.0,3.0,6.0,9
EPS in Rs,0.02,1.27,2.57,3.61
