,2012-06-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-104,-4,-56,-13,30,142,10,5,1,36,-3,-8
Cash from Investing Activity,-4,-2,-14,-4,0,28,-1,6,13,0,-1,-6
Cash from Financing Activity,115,0,63,15,-30,-168,-12,-11,-14,-35,6,10
Net Cash Flow,6,-6,-7,-1,-1,2,-3,0,0,1,2,-4
