,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,10,11
Reserves,5,8,16,39,83,361
Borrowings,11,15,31,34,36,13
Other Liabilities,29,22,58,70,137,81
Total Liabilities,51,51,110,149,266,465
Fixed Assets,4,6,7,10,23,28
CWIP,0,0,0,1,2,3
Investments,0,0,0,0,0,0
Other Assets,47,44,104,138,241,434
Total Assets,51,51,110,149,266,465
