,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15,20,24,24,24,31,31,31,31,31,31,31
Reserves,9,18,32,51,85,271,324,365,409,437,459,471
Borrowings,63,79,90,79,110,85,108,163,168,167,91,83
Other Liabilities,7,24,19,24,57,43,47,68,49,42,33,38
Total Liabilities,94,141,165,179,277,431,510,627,657,678,614,623
Fixed Assets,26,40,52,55,83,111,115,280,250,236,242,257
CWIP,0,0,0,8,1,21,116,3,15,22,18,1
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,68,101,113,116,193,299,279,344,391,420,354,365
Total Assets,94,141,165,179,277,431,510,627,657,678,614,623
