,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0,86.0,75.0,70.0,81.0,6.0,8.0,4
Expenses,0.0,676,215.0,205.0,187.0,264.0,4.0,8.0,3
Operating Profit,0.0,-676,-128.0,-130.0,-118.0,-183.0,3.0,-1.0,1
OPM %,,,-149.0,-174.0,-170.0,-225.0,43.0,-7.0,19
Other Income,0.0,676,203.0,9.0,8.0,10.0,-279.0,-97.0,-134
Interest,0.0,0,247.0,129.0,131.0,135.0,21.0,21.0,21
Depreciation,0.0,0,12.0,10.0,18.0,21.0,0.0,0.0,0
Profit before tax,0.0,-0,-185.0,-260.0,-259.0,-329.0,-297.0,-118.0,-154
Tax %,,0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,0.0,-0,-185.0,-260.0,-259.0,-329.0,-297.0,-118.0,-154
EPS in Rs,,,-7.7,-10.84,-10.81,-13.74,-12.41,-4.92,-6.42
