,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,48,48,48,48,48,48,48,48.0
Reserves,0,-33,-32,-275,-556,-902,-1043,-1362,-1558.0
Preference Capital,0,0,198,213,228,243,258,273,
Borrowings,0,2396,2220,2243,2278,2273,2150,2138,413.0
Other Liabilities,0,416,734,908,1091,1049,1330,1614,3522.0
Total Liabilities,0,2828,2970,2924,2861,2469,2485,2437,2425.0
Fixed Assets,0,861,2697,2717,912,891,868,116,116.0
CWIP,0,1731,52,3,0,0,0,0,0.0
Investments,0,49,121,123,102,86,251,229,215.0
Other Assets,0,186,100,81,1847,1491,1367,2093,2094.0
Total Assets,0,2828,2970,2924,2861,2469,2485,2437,2425.0
