,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,41.55,41.57,41.57,41.57,41.57,41.57,41.57,41.58,41.58
DIIs,0.21,0.21,0.18,0.18,0.15,0.15,0.15,0.15,0.15
Government,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Public,58.25,58.23,58.19,58.19,58.22,58.22,58.22,58.22,58.21
No. of Shareholders,3961.0,3967.0,3002.0,2948.0,2668.0,2617.0,2909.0,3146.0,3399.0
