,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.5,31.22,36.74,49.53,52.19,67.17,61.93,58.04,56.85,51.15,66.3,86.02,82.08
Expenses,25.71,26.99,30.38,39.95,40.91,51.63,48.08,51.0,52.25,46.41,61.94,76.43,70.37
Operating Profit,2.79,4.23,6.36,9.58,11.28,15.54,13.85,7.04,4.6,4.74,4.36,9.59,11.71
OPM %,9.79,13.55,17.31,19.34,21.61,23.14,22.36,12.13,8.09,9.27,6.58,11.15,14.27
Other Income,0.59,0.48,0.59,0.95,1.8,2.44,2.74,1.79,1.06,1.21,1.32,1.47,1.41
Interest,0.65,0.65,0.64,1.07,0.76,0.97,1.68,1.71,1.73,0.98,1.12,1.06,1.30
Depreciation,0.43,0.7,0.72,1.16,1.21,1.05,2.69,2.65,2.43,2.62,2.89,3.43,3.48
Profit before tax,2.3,3.36,5.59,8.3,11.11,15.96,12.22,4.47,1.5,2.35,1.67,6.57,8.34
Tax %,-1.3,60.42,39.89,33.73,33.39,36.47,36.58,33.11,11.33,29.79,19.76,33.18,
Net Profit,2.32,1.33,3.36,5.5,7.39,10.14,7.75,2.99,1.34,1.64,1.34,4.39,5.18
EPS in Rs,2.79,1.6,4.04,6.61,8.88,12.19,9.31,3.29,1.48,1.81,1.48,4.83,5.69
