,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,15,20,20
Reserves,30,38,29,80,86
Borrowings,0,0,0,0,0
Other Liabilities,11,17,19,23,35
Total Liabilities,42,56,64,124,142
Fixed Assets,2,2,1,3,3
CWIP,0,0,0,0,0
Investments,0,1,2,3,4
Other Assets,39,53,60,117,135
Total Assets,42,56,64,124,142
