,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,18.19,18.2,22.55,19.07,22.29,23.77,27.03,28.84
Expenses,16.47,16.23,19.1,16.64,18.56,21.23,23.17,24.13
Operating Profit,1.72,1.97,3.45,2.43,3.73,2.54,3.86,4.71
OPM %,9.46,10.82,15.3,12.74,16.73,10.69,14.28,16.33
Other Income,0.46,0.93,0.65,0.52,0.76,1.9,1.71,1.89
Interest,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Depreciation,0.16,0.16,0.13,0.14,0.14,0.26,0.23,0.23
Profit before tax,2.02,2.74,3.96,2.81,4.35,4.18,5.34,6.37
Tax %,-26.73,30.66,26.01,-22.06,22.07,25.84,24.16,24.49
Net Profit,2.55,1.91,2.93,3.42,3.39,3.1,4.05,4.8
EPS in Rs,5.52,1.49,1.93,2.23,1.68,1.53,2.01,2.37
