,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.34,0.08,0.04,0.01,0.02,0.01,0.03,0.02,0.04,0.04
Expenses,0.15,0.13,0.17,0.11,0.11,0.11,0.25,0.21,0.18,0.13
Operating Profit,0.19,-0.05,-0.13,-0.1,-0.09,-0.1,-0.22,-0.19,-0.14,-0.09
OPM %,55.88,-62.5,-325.0,-1000.0,-450.0,-1000.0,-733.33,-950.0,-350.0,-225.0
Other Income,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Interest,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Depreciation,0.44,0.41,0.41,0.41,0.39,0.4,0.4,0.36,0.25,0.36
Profit before tax,-0.31,-0.46,-0.54,-0.51,-0.48,-0.5,-0.62,-0.55,-0.39,-0.45
Tax %,-0.0,4.35,-0.0,3.92,33.33,4.0,-6.45,9.09,5.13,11.11
Net Profit,-0.31,-0.44,-0.54,-0.49,-0.32,-0.48,-0.66,-0.5,-0.38,-0.39
EPS in Rs,-0.31,-0.44,-0.54,-0.49,-0.32,-0.48,-0.66,-0.5,-0.38,-0.39
