,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,149.81,79.27,244.79,329.96,260.11,190.43,663.64,2737.50,1186.25,584.00
Inventory Days,0.0,,,,-0.00,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,149.81,79.27,244.79,329.96,260.11,190.43,663.64,2737.50,1186.25,584.00
Working Capital Days,757.24,240.57,476.47,665.76,595.75,259.20,796.36,730.00,-821.25,-2409.00
ROCE %,,3.37,,-3.88,-8.94,-4.20,-8.26,-8.87,-9.59,-10.13
