,2012-03-01,2013-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.43,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02,10.02
Reserves,3.27,5.34,4.39,3.22,2.14,1.61,0.63,-0.17,-1.31,-2.18,-2.58
Borrowings,0.0,0.48,0.35,0.37,0.64,0.79,0.9,0.91,0.96,1.05,1.09
Other Liabilities,0.08,0.21,0.38,0.73,0.42,0.38,0.43,0.39,0.52,0.64,0.64
Total Liabilities,9.78,16.05,15.14,14.34,13.22,12.8,11.98,11.15,10.19,9.53,9.17
Fixed Assets,6.64,11.98,12.37,6.73,5.12,4.22,3.84,3.04,2.1,1.5,8.31
CWIP,0.0,0.0,0.0,5.07,6.58,7.39,7.15,7.15,7.15,7.15,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.14,4.07,2.77,2.54,1.52,1.19,0.99,0.96,0.94,0.88,0.86
Total Assets,9.78,16.05,15.14,14.34,13.22,12.8,11.98,11.15,10.19,9.53,9.17
