,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,26,23,24,79,31,100
Cash from Investing Activity,-26,-20,-2,-57,-11,-57
Cash from Financing Activity,0,0,-18,-6,-14,-5
Net Cash Flow,0,3,4,17,5,38
