,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,72.0,64,76,68,78,82.0
Inventory Days,142.0,86,120,74,175,49.0
Days Payable,84.0,91,150,99,115,130.0
Cash Conversion Cycle,130.0,59,46,43,137,1.0
Working Capital Days,25.0,30,38,6,69,335.0
ROCE %,,9,11,19,21,
