,2022-03-01,2023-03-01,2023-09-01
Promoters,53.73,53.31,52.93
FIIs,5.57,6.61,5.74
DIIs,4.8,4.85,5.79
Public,35.9,35.22,35.53
No. of Shareholders,151018.0,146982.0,135820.0
