,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,11,11.0,11.0
Reserves,108,154,166,227,427,524.0,594.0
Preference Capital,129,129,129,129,0,,
Borrowings,0,0,23,20,16,12.0,10.0
Other Liabilities,166,159,167,178,51,92.0,72.0
Total Liabilities,278,317,360,428,505,639.0,687.0
Fixed Assets,22,20,40,33,28,36.0,39.0
CWIP,0,0,0,0,0,0.0,0.0
Investments,168,204,204,275,313,379.0,422.0
Other Assets,87,94,116,120,165,224.0,226.0
Total Assets,278,317,360,428,505,639.0,687.0
