,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72
Reserves,0.07,2.84,3.01,3.08,3.08,3.08,3.17,3.29,3.37,4.37,4.65,4.74
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62
Other Liabilities,0.01,0.47,0.09,3.19,0.17,0.15,0.05,0.09,0.22,8.86,2.96,2.98
Total Liabilities,0.33,9.03,8.82,11.99,8.97,8.95,8.94,9.1,9.31,18.95,13.95,14.06
Fixed Assets,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.18,5.0,7.15,7.27,7.27,7.27,4.12,3.92,3.42,3.42,0.12,2.87
Other Assets,0.11,4.03,1.67,4.72,1.7000000000000002,1.6800000000000002,4.82,5.18,5.89,15.53,13.83,11.19
Total Assets,0.33,9.03,8.82,11.99,8.97,8.95,8.94,9.1,9.31,18.95,13.95,14.06
