,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.53,0.23,1.53,1.94,5.25,8.46,8.06,7.01,5.31,7.56,14.18,9.98,18.62
Expenses,1.29,0.24,1.48,1.59,2.99,6.13,6.23,4.74,2.31,5.92,12.67,7.83,14.90
Operating Profit,-0.76,-0.01,0.05,0.35,2.26,2.33,1.83,2.27,3.0,1.64,1.51,2.15,3.72
OPM %,-143.4,-4.35,3.27,18.04,43.05,27.54,22.7,32.38,56.5,21.69,10.65,21.54,19.98
Other Income,0.88,0.04,0.01,0.27,0.17,0.17,0.33,0.84,0.33,0.05,0.19,0.12,0.10
Interest,0.0,0.0,0.01,0.5,1.58,1.69,1.33,1.5,1.46,0.97,0.66,0.4,0.15
Depreciation,0.0,0.0,0.0,1.17,2.07,2.58,2.45,2.07,1.72,1.47,1.28,1.14,1.07
Profit before tax,0.12,0.03,0.05,-1.05,-1.22,-1.77,-1.62,-0.46,0.15,-0.75,-0.24,0.73,2.60
Tax %,16.67,66.67,0.0,0.0,0.0,0.0,0.0,-58.7,6.67,-152.0,-8.33,46.58,
Net Profit,0.1,0.01,0.05,-1.04,-1.22,-1.77,-1.63,-0.73,0.14,-1.89,-0.25,0.38,2.60
EPS in Rs,0.44,0.04,0.21,-2.15,-2.52,-3.65,-3.36,-1.51,0.29,-3.9,-0.52,0.78,5.36
