,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,67.99,67.99,68.0,68.26,68.96,70.32,70.32
DIIs,0.0,0.05,0.17,0.0,0.0,0.0,0.0
Public,32.01,31.95,31.83,31.74,31.04,29.67,29.68
No. of Shareholders,11056.0,10523.0,10300.0,9563.0,8841.0,8349.0,8443.0
