,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,378.0,261.0,266.0,350.0,316.0,296
Expenses,343.0,235.0,235.0,316.0,287.0,274
Operating Profit,35.0,25.0,30.0,35.0,29.0,22
OPM %,9.0,10.0,11.0,10.0,9.0,7
Other Income,2.0,2.0,2.0,14.0,5.0,6
Interest,6.0,5.0,5.0,6.0,7.0,8
Depreciation,6.0,8.0,8.0,10.0,11.0,13
Profit before tax,25.0,15.0,20.0,33.0,17.0,7
Tax %,30.0,31.0,31.0,23.0,31.0,
Net Profit,18.0,10.0,14.0,25.0,11.0,2
EPS in Rs,59.04,33.67,44.85,83.75,37.91,9.24
