,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2023-03-01,2023-09-01
Equity Capital,9.66,9.66,9.66,9.66,9.66,12.38,25.0
Reserves,33.38,33.14,32.88,32.74,-1.2,70.3,75.53
Borrowings,0.0,0.0,0.0,0.0,0.0,1.54,1.18
Other Liabilities,0.43,0.15,0.0,0.0,0.0,12.93,1.44
Total Liabilities,43.47,42.95,42.54,42.4,8.46,109.77,103.15
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.19,0.25
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,37.59,34.9,34.67,34.42,0.49,85.28,85.28
Other Assets,5.88,8.05,7.87,7.98,7.97,24.3,17.62
Total Assets,43.47,42.95,42.54,42.4,8.46,109.77,103.15
