,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2023-03-01
Debtor Days,,,0.00,,,233.96
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,,,0.00,,,233.96
Working Capital Days,,,182.50,,,56.69
ROCE %,,-0.14,-0.05,-0.09,-0.04,
