,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,16.53,18.93,17.11,17.8,18.6,18.25,20.95,15.56,19.6,20.56,22.84,21.27
Expenses,16.73,18.13,16.95,17.67,18.0,18.79,20.73,15.0,18.64,21.48,22.82,20.94
Operating Profit,-0.20,0.8,0.16,0.13,0.6,-0.54,0.22,0.56,0.96,-0.92,0.02,0.33
OPM %,-1.21,4.23,0.94,0.73,3.23,-2.96,1.05,3.6,4.9,-4.47,0.09,1.55
Other Income,0.80,0.97,0.74,0.75,1.05,0.98,0.76,0.7,0.73,2.22,0.73,0.79
Interest,0.10,0.1,0.06,0.04,0.03,0.15,0.01,0.01,0.01,0.08,0.01,0.01
Depreciation,0.50,0.5,0.51,0.46,0.38,0.4,0.38,0.39,0.41,0.42,0.42,0.42
Profit before tax,0.00,1.17,0.33,0.38,1.24,-0.11,0.59,0.86,1.27,0.8,0.32,0.69
Tax %,,14.53,33.33,23.68,19.35,36.36,25.42,23.26,24.41,21.25,59.38,37.68
Net Profit,0.03,1.0,0.22,0.29,1.0,-0.07,0.44,0.67,0.97,0.63,0.14,0.42
EPS in Rs,0.06,2.0,0.44,0.58,2.0,-0.14,0.88,1.34,1.94,1.26,0.28,0.84
