,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.23,0.23,7.14,7.14,7.14,14.28,19.53,19.53
Reserves,18.88,20.02,19.05,19.15,19.26,12.33,10.92,11.04
Borrowings,1.54,3.4,7.26,8.95,11.36,12.19,9.67,9.6
Other Liabilities,7.53,9.03,12.56,10.07,8.73,3.92,4.71,5.92
Total Liabilities,28.18,32.68,46.01,45.31,46.49,42.72,44.83,46.09
Fixed Assets,1.62,1.61,5.37,4.83,4.05,3.82,3.62,3.63
CWIP,0.93,0.98,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,25.63,30.09,40.64,40.48,42.44,38.9,41.21,42.46
Total Assets,28.18,32.68,46.01,45.31,46.49,42.72,44.83,46.09
