,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.67,36.82,31.24,22.29,34.44,15.4,22.02,31.62
Expenses,23.32,35.64,27.53,21.42,32.81,14.76,22.28,27.79
Operating Profit,1.35,1.18,3.71,0.87,1.63,0.64,-0.26,3.83
OPM %,5.47,3.2,11.88,3.9,4.73,4.16,-1.18,12.11
Other Income,0.47,0.82,0.49,0.95,0.83,1.03,0.56,0.60
Interest,0.09,0.18,0.73,0.99,1.53,1.12,1.5,1.58
Depreciation,0.18,0.15,0.51,0.58,0.79,0.26,0.22,0.22
Profit before tax,1.55,1.67,2.96,0.25,0.14,0.29,-1.42,2.63
Tax %,29.68,30.54,24.32,60.0,21.43,27.59,-0.0,
Net Profit,1.09,1.17,2.23,0.1,0.11,0.22,-1.41,2.65
EPS in Rs,47.31,50.78,3.12,0.14,0.15,0.15,-0.72,1.36
