,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,3693,-607,3278,5941,-3091,-505,-1999,-786,-14023,4949,5566,-15619
Cash from Investing Activity,-225,-401,-227,-164,-254,-135,-110,-647,-85,-46,-48,-559
Cash from Financing Activity,775,6,699,113,692,1617,5430,5780,7277,1813,479,13
Net Cash Flow,4242,-1003,3750,5890,-2652,977,3322,4347,-6831,6716,5997,-16166
