,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.79,1.96,6.52,19.46,12.5,12.05
Expenses,0.17,0.18,0.49,0.23,1.08,6.4,6.51,18.62,17.65,17.15
Operating Profit,-0.17,-0.18,-0.49,-0.23,-0.29,-4.44,0.01,0.84,-5.15,-5.10
OPM %,,,,,-36.71,-226.53,0.15,4.32,-41.2,-42.32
Other Income,0.69,0.75,0.69,10.12,11.68,0.75,8.21,16.76,1.68,10.03
Interest,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.02,0.00
Depreciation,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.52,0.57,0.20,9.89,11.39,-3.69,8.22,17.57,-3.49,4.93
Tax %,36.54,33.33,30.00,1.31,0.61,-1.36,2.92,1.31,-16.33,
Net Profit,9.93,3.75,2.01,9.76,11.32,-3.74,7.99,17.34,-4.07,4.49
EPS in Rs,1.70,0.64,0.34,1.67,1.94,-0.64,1.37,2.97,-0.7,0.77
