,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84
Reserves,101.62,104.67,108.04,117.11,128.39,124.28,132.79,150.34,146.15,155.5
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
Other Liabilities,0.03,0.07,0.02,0.03,1.49,0.13,0.39,0.85,1.84,1.26
Total Liabilities,107.49,110.58,113.9,122.98,135.72,130.25,139.02,157.11,153.83,162.6
Fixed Assets,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,98.85,101.52,103.43,113.29,126.09,129.39,136.93,153.62,151.73,160.99
Other Assets,8.64,9.06,10.47,9.64,9.63,0.86,2.09,3.48,2.1,1.61
Total Assets,107.49,110.58,113.9,122.98,135.72,130.25,139.02,157.11,153.83,162.6
