,2011-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,4.8,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56
Reserves,6.84,1.2,0.71,0.09,-1.57,-1.7000000000000002,-1.78,-1.86,-2.04,-0.7000000000000001,-0.01,0.23
Borrowings,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.26,0.48,0.61
Other Liabilities,21.98,13.96,1.18,0.21,0.03,0.0,0.07,0.0,0.11,0.22,0.3,0.48
Total Liabilities,33.66,25.72,12.45,10.86,9.02,8.86,8.85,8.7,8.74,10.34,11.33,11.88
Fixed Assets,2.81,2.7,1.97,1.31,0.02,0.02,0.02,0.0,0.0,0.0,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,7.34,2.87,2.87,2.87,0.0,0.0,0.0,0.0,0.0
Other Assets,30.85,23.02,10.48,2.21,6.13,5.97,5.96,8.7,8.74,10.34,11.32,11.87
Total Assets,33.66,25.72,12.45,10.86,9.02,8.86,8.85,8.7,8.74,10.34,11.33,11.88
