,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25.62,31.29,29.29,40.92,21.77,44.45,58.9,59.11,44.22,44.49,23.12,26.76,20.73
Expenses,23.33,28.97,26.32,38.27,20.24,41.58,56.75,56.68,42.3,42.28,21.7,24.16,20.54
Operating Profit,2.29,2.32,2.97,2.65,1.53,2.87,2.15,2.43,1.92,2.21,1.42,2.6,0.19
OPM %,8.94,7.41,10.14,6.48,7.03,6.46,3.65,4.11,4.34,4.97,6.14,9.72,0.92
Other Income,0.23,0.51,-0.06,0.12,0.68,0.27,1.55,0.98,1.38,0.8,1.29,0.16,0.29
Interest,0.75,1.56,1.63,1.64,1.72,1.67,2.13,2.1,2.47,2.12,2.1,2.1,2.33
Depreciation,0.24,0.3,0.35,0.32,0.31,0.31,0.36,0.4,0.41,0.43,0.41,0.4,0.36
Profit before tax,1.53,0.97,0.93,0.81,0.18,1.16,1.21,0.91,0.42,0.46,0.2,0.26,-2.21
Tax %,37.25,34.02,34.41,34.57,38.89,26.72,23.97,19.78,-4.76,-6.52,-15.0,15.38,
Net Profit,0.95,0.64,0.61,0.54,0.12,0.85,0.92,0.73,0.45,0.49,0.23,0.22,-2.11
EPS in Rs,2.21,1.49,1.42,1.26,0.28,1.98,2.14,1.7,1.05,1.14,0.53,0.51,-4.90
