,2022-09-01,2023-06-01,2023-09-01
Sales,10986.8,6730.7,6965.4
Expenses,10985.62,6729.19,6963.6
Operating Profit,1.18,1.51,1.8
OPM %,0.01,0.02,0.03
Other Income,-0.22,0.05,0.17
Interest,0.15,0.94,1.4
Depreciation,0.42,0.37,0.37
Profit before tax,0.39,0.25,0.2
Tax %,15.38,28.0,-50.0
Net Profit,0.33,0.18,0.3
EPS in Rs,0.06,0.04,0.06
