,2023-03-01,2023-09-01
Equity Capital,26.0,26
Reserves,,5
Borrowings,,102
Other Liabilities,,328
Total Liabilities,,462
Fixed Assets,,24
CWIP,,0
Investments,,0
Other Assets,,437
Total Assets,,462
