,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1817.0,1573.0,1563.0,2074.0,2335.0,2308
Expenses,1547.0,1347.0,1413.0,1883.0,2110.0,2058
Operating Profit,270.0,226.0,150.0,191.0,225.0,250
OPM %,15.0,14.0,10.0,9.0,10.0,11
Other Income,58.0,59.0,79.0,65.0,81.0,102
Interest,7.0,15.0,12.0,14.0,18.0,20
Depreciation,30.0,52.0,55.0,57.0,57.0,58
Profit before tax,290.0,218.0,162.0,186.0,232.0,273
Tax %,30.0,26.0,26.0,26.0,26.0,
Net Profit,202.0,161.0,121.0,137.0,172.0,202
EPS in Rs,57.91,47.63,35.92,39.75,49.97,58.68
