,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,14,14,14,14,15,16,16,16.0
Reserves,68,74,76,82,85,97,112,118,121.0
Preference Capital,32,0,30,30,27,25,11,10,
Borrowings,71,94,71,71,52,56,34,33,60.0
Other Liabilities,62,29,70,70,61,56,42,57,47.0
Total Liabilities,214,211,231,238,211,224,205,225,245.0
Fixed Assets,69,74,69,66,63,61,60,65,65.0
CWIP,2,0,0,0,0,0,0,0,0.0
Investments,33,32,32,32,31,31,31,30,31.0
Other Assets,110,105,131,140,117,133,115,130,149.0
Total Assets,214,211,231,238,211,224,205,225,245.0
