,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,317.0,254.0,297.0,465.0,358.0,251.0,495.0,650.0,747
Expenses,316.0,238.0,276.0,443.0,343.0,238.0,480.0,636.0,731
Operating Profit,1.0,16.0,21.0,22.0,15.0,13.0,15.0,14.0,16
OPM %,0.0,6.0,7.0,5.0,4.0,5.0,3.0,2.0,2
Other Income,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3
Interest,9.0,11.0,12.0,11.0,9.0,6.0,5.0,3.0,5
Depreciation,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7
Profit before tax,-12.0,1.0,4.0,7.0,0.0,2.0,7.0,7.0,8
Tax %,-27.0,-63.0,44.0,16.0,-505.0,45.0,27.0,25.0,
Net Profit,-15.0,1.0,2.0,6.0,2.0,1.0,5.0,5.0,6
EPS in Rs,-11.24,0.91,1.74,4.32,1.78,0.6,2.98,3.31,3.73
