,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,33,37,40,43,80,81,82,84,86,89,96,102
Borrowings,19,22,5,12,8,5,1,7,2,7,9,26
Other Liabilities,48,57,72,65,30,31,32,31,50,42,38,64
Total Liabilities,106,122,122,125,124,123,120,128,144,143,148,197
Fixed Assets,21,36,35,33,51,49,48,47,48,46,46,60
CWIP,0,14,24,25,0,0,0,0,0,0,0,1
Investments,1,1,1,1,1,1,1,1,2,8,9,9
Other Assets,84,71,62,67,72,73,71,81,94,89,93,127
Total Assets,106,122,122,125,124,123,120,128,144,143,148,197
