,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,20.2,23.88,16.02,12.39,19.05,14.57,16.27,15.35,14.71,20.04,25.29,17.05,16.04
Expenses,11.97,15.75,13.91,10.45,13.8,13.11,13.96,11.98,12.52,14.61,20.13,14.25,12.91
Operating Profit,8.23,8.13,2.11,1.94,5.25,1.46,2.31,3.37,2.19,5.43,5.16,2.8,3.13
OPM %,40.74,34.05,13.17,15.66,27.56,10.02,14.2,21.95,14.89,27.1,20.4,16.42,19.51
Other Income,0.7,1.01,0.01,0.82,0.92,1.28,1.2,1.34,1.33,1.1,0.94,1.29,1.53
Interest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Depreciation,0.43,0.44,0.41,0.45,0.45,0.46,0.42,0.48,0.39,0.43,0.48,0.46,0.47
Profit before tax,8.5,8.7,1.71,2.31,5.72,2.28,3.09,4.23,3.13,6.1,5.62,3.63,4.19
Tax %,24.59,24.37,33.33,25.11,25.7,20.18,25.89,25.3,25.56,25.08,27.05,25.07,25.3
Net Profit,6.41,6.58,1.14,1.73,4.25,1.81,2.29,3.17,2.33,4.57,4.1,2.71,3.14
EPS in Rs,6.25,6.42,1.11,1.69,4.15,1.77,2.23,3.09,2.27,4.46,4.0,2.64,3.06
