,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.02,0.04,0.06,0.19,0.25,0.28,5.59,5.59,5.59,5.59,5.59
Reserves,0.05,0.29,0.15,-1.22,0.87,0.38,-0.75,-4.33,-4.99,-6.25,-6.8
Borrowings,0.08,0.08,0.08,0.99,0.18,0.18,0.65,0.56,0.6000000000000001,2.18,2.89
Other Liabilities,0.08,0.1,0.23,0.37,0.32,0.5700000000000001,1.32,1.86,1.24,1.26,0.87
Total Liabilities,0.23,0.51,0.52,0.33,1.62,1.41,6.8100000000000005,3.68,2.44,2.78,2.55
Fixed Assets,0.04,0.06,0.08,0.09,0.09,0.11,1.44,1.41,0.22,0.15,0.13
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.19,0.45,0.44,0.24,1.53,1.3,5.34,2.27,2.22,2.63,2.42
Total Assets,0.23,0.51,0.52,0.33,1.62,1.41,6.8100000000000005,3.68,2.44,2.78,2.55
