,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,63.88,63.88,63.88,63.88,63.88
Public,36.12,36.12,36.12,36.11,36.11
No. of Shareholders,83.0,101.0,105.0,106.0,107.0
