,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.62,1.06,1.31,0.78,0.18,0.00,0.00,0.54,0.92,0.64
Expenses,2.02,2.44,4.11,2.38,1.49,0.20,0.37,0.96,1.69,1.16
Operating Profit,-1.4,-1.38,-2.8,-1.6,-1.31,-0.20,-0.37,-0.42,-0.77,-0.52
OPM %,-225.81,-130.19,-213.74,-205.13,-727.78,,,-77.78,-83.7,-81.25
Other Income,0.04,0.0,0.0,0.02,-0.46,0.00,0.00,0.0,0.0,0.0
Interest,0.0,0.01,0.03,0.05,0.04,0.01,0.00,0.0,0.0,0.0
Depreciation,0.04,0.04,0.08,0.07,0.07,0.04,0.04,0.04,0.03,0.02
Profit before tax,-1.4,-1.43,-2.91,-1.7,-1.88,-0.25,-0.41,-0.46,-0.8,-0.54
Tax %,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0
Net Profit,-1.39,-1.43,-2.91,-1.69,-1.88,-0.25,-0.41,-0.46,-0.8,-0.55
EPS in Rs,-50.29,-46.31,-5.21,-3.03,-3.37,-0.45,-0.73,-0.82,-1.43,-0.98
