,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.07,0.39,0.73,0.41,1.42,2.37,0.95,0.00,1.46,1.56
Expenses,0.51,1.32,1.61,2.16,1.5,3.58,6.54,3.81,0.58,2.65,2.85
Operating Profit,-0.51,-1.25,-1.22,-1.43,-1.09,-2.16,-4.17,-2.86,-0.58,-1.19,-1.29
OPM %,,-1785.71,-312.82,-195.89,-265.85,-152.11,-175.95,-301.05,,-81.51,-82.69
Other Income,0.00,0.0,0.0,0.01,0.01,0.08,0.0,-0.49,0.00,0.0,0.00
Interest,0.00,0.0,0.0,0.0,0.02,0.0,0.04,0.09,0.01,0.0,0.00
Depreciation,0.01,0.04,0.04,0.04,0.06,0.06,0.12,0.13,0.08,0.07,0.05
Profit before tax,-0.52,-1.29,-1.26,-1.46,-1.16,-2.14,-4.33,-3.57,-0.67,-1.26,-1.34
Tax %,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,
Net Profit,-0.52,-1.29,-1.26,-1.47,-1.16,-2.14,-4.34,-3.58,-0.66,-1.26,-1.35
EPS in Rs,-270.83,-295.19,-228.26,-76.01,-46.7,-77.42,-7.77,-6.41,-1.18,-2.26,-2.41
