,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.7,12.46,10.88,23.13,15.15,20.82,31.18,48.76
Expenses,2.38,11.55,9.7,21.64,13.97,18.92,28.08,44.80
Operating Profit,0.32,0.91,1.18,1.49,1.18,1.9,3.1,3.96
OPM %,11.85,7.3,10.85,6.44,7.79,9.13,9.94,8.12
Other Income,0.0,0.27,0.39,0.76,0.25,0.24,0.59,0.40
Interest,0.1,0.69,0.65,0.62,0.55,0.56,1.08,1.27
Depreciation,0.05,0.4,0.59,0.59,0.55,0.52,1.14,1.16
Profit before tax,0.17,0.09,0.33,1.04,0.33,1.06,1.47,1.93
Tax %,-5.88,66.67,-18.18,26.92,27.27,27.36,27.89,
Net Profit,0.17,0.02,0.39,0.77,0.24,0.77,1.06,1.47
EPS in Rs,0.33,0.02,0.39,0.76,0.24,0.76,1.05,1.44
