,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.55,5.07,5.07,10.14,10.14,10.14,10.14,10.14
Reserves,0.07,4.01,4.4,0.06,0.3,1.07,2.16,3.02
Borrowings,6.06,8.72,9.25,9.19,8.93,12.6,14.18,14.17
Other Liabilities,1.07,0.51,1.31,1.39,1.11,1.37,2.69,2.06
Total Liabilities,9.75,18.31,20.03,20.78,20.48,25.18,29.17,29.39
Fixed Assets,4.51,7.03,6.61,6.65,6.41,6.69,9.33,9.16
CWIP,0.76,0.0,0.0,0.0,0.0,2.74,0.0,0.0
Investments,0.0,0.18,0.2,0.21,0.09,0.1,0.11,0.1
Other Assets,4.48,11.1,13.22,13.92,13.98,15.65,19.73,20.13
Total Assets,9.75,18.31,20.03,20.78,20.48,25.18,29.17,29.39
