,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,1,13,17,17,17,17,17,17
Reserves,10,19,24,31,35,32,51,49,63,75,87,99
Borrowings,1,0,0,10,18,1,0,5,4,11,11,13
Other Liabilities,3,8,8,9,20,8,12,10,19,24,42,27
Total Liabilities,14,28,34,50,73,53,81,82,103,128,158,157
Fixed Assets,4,4,3,2,24,2,1,11,9,8,9,9
CWIP,0,0,0,2,9,0,0,0,1,1,2,0
Investments,0,7,8,22,5,14,15,8,5,2,2,2
Other Assets,10,17,23,24,35,38,64,62,88,117,146,145
Total Assets,14,28,34,50,73,53,81,82,103,128,158,157
