,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.92,12.57,13.89,18.01,11.71,16.25,21.66,18.61,18.08,20.0,56.68,60.69,74.92
Expenses,9.27,9.92,8.65,13.61,9.73,11.35,16.61,12.46,21.18,9.69,51.47,58.44,68.53
Operating Profit,3.65,2.65,5.24,4.4,1.98,4.9,5.05,6.15,-3.1,10.31,5.21,2.25,6.39
OPM %,28.25,21.08,37.72,24.43,16.91,30.15,23.31,33.05,-17.15,51.55,9.19,3.71,8.53
Other Income,1.76,0.21,0.09,0.05,0.05,0.78,0.07,0.39,0.58,0.22,0.45,0.35,0.02
Interest,0.13,0.05,0.05,0.04,0.01,0.06,0.06,0.07,0.1,0.06,0.01,0.0,0.00
Depreciation,0.42,0.41,0.39,0.76,0.48,0.45,0.5,0.53,0.54,0.52,0.55,0.65,0.71
Profit before tax,4.86,2.4,4.89,3.65,1.54,5.17,4.56,5.94,-3.16,9.95,5.1,1.95,5.70
Tax %,27.16,33.33,29.24,30.41,37.01,30.56,19.96,24.24,9.81,13.07,40.0,21.03,
Net Profit,3.58,1.7,3.47,2.57,1.2,3.6,3.65,4.5,-2.86,8.66,3.06,1.53,4.51
EPS in Rs,4.48,2.13,4.35,3.22,1.5,4.51,4.57,5.64,-3.58,10.85,3.83,1.92,5.66
